Random number seed:  2997058579942705932
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
   350.0 	    86.0 	0.507 	1.145  	8.089
   400.0 	    86.0 	0.534 	1.137  	8.092
   500.0 	    86.0 	0.586 	1.096  	8.095
   800.0 	    86.0 	0.666 	1.055  	8.099
  1000.0 	    86.0 	0.703 	0.946  	8.104
  1500.0 	    86.0 	0.753 	0.893  	8.111
  2000.0 	    86.0 	0.763 	0.817  	8.120
  3500.0 	    86.0 	0.789 	0.678  	8.133
  5000.0 	    86.0 	0.802 	0.612  	8.151
  8000.0 	    86.0 	0.812 	0.511  	8.178
 10000.0 	    86.0 	0.797 	0.460  	8.211
 15000.0 	    86.0 	0.813 	0.418  	8.258
 20000.0 	    86.0 	0.819 	0.362  	8.314
 29975.0 	    86.0 	0.811 	0.277  	8.397
     1.0 	    87.0 	0.000 	0.025  	8.397
     5.0 	    87.0 	0.000 	0.065  	8.397
    10.0 	    87.0 	-0.000 	0.110  	8.398
    20.0 	    87.0 	0.000 	0.195  	8.398
    35.0 	    87.0 	0.000 	0.357  	8.398
    50.0 	    87.0 	0.000 	0.499  	8.399
    75.0 	    87.0 	0.080 	0.667  	8.400
   100.0 	    87.0 	0.157 	0.795  	8.401
   125.0 	    87.0 	0.215 	0.898  	8.403
   150.0 	    87.0 	0.268 	0.984  	8.404
   175.0 	    87.0 	0.315 	1.035  	8.406
   200.0 	    87.0 	0.364 	1.066  	8.408
   250.0 	    87.0 	0.415 	1.123  	8.410
   300.0 	    87.0 	0.465 	1.125  	8.412
   350.0 	    87.0 	0.500 	1.146  	8.415
   400.0 	    87.0 	0.537 	1.118  	8.417
   500.0 	    87.0 	0.587 	1.121  	8.421
   800.0 	    87.0 	0.692 	1.031  	8.425
  1000.0 	    87.0 	0.704 	1.011  	8.430
  1500.0 	    87.0 	0.751 	0.898  	8.437
  2000.0 	    87.0 	0.782 	0.809  	8.446
  3500.0 	    87.0 	0.814 	0.691  	8.459
  5000.0 	    87.0 	0.814 	0.632  	8.477
  8000.0 	    87.0 	0.840 	0.545  	8.502
 10000.0 	    87.0 	0.832 	0.502  	8.532
 15000.0 	    87.0 	0.845 	0.448  	8.570
 20000.0 	    87.0 	0.848 	0.410  	8.622
 29975.0 	    87.0 	0.833 	0.317  	8.700
     1.0 	    88.0 	0.000 	0.027  	8.701
     5.0 	    88.0 	0.000 	0.064  	8.701
    10.0 	    88.0 	0.000 	0.102  	8.701
    20.0 	    88.0 	0.000 	0.195  	8.702
    35.0 	    88.0 	0.000 	0.355  	8.702
    50.0 	    88.0 	0.000 	0.511  	8.703
    75.0 	    88.0 	0.082 	0.664  	8.704
   100.0 	    88.0 	0.158 	0.806  	8.705
   125.0 	    88.0 	0.214 	0.903  	8.706
   150.0 	    88.0 	0.271 	0.991  	8.708
   175.0 	    88.0 	0.313 	1.046  	8.710
   200.0 	    88.0 	0.356 	1.068  	8.711
   250.0 	    88.0 	0.408 	1.128  	8.714
   300.0 	    88.0 	0.464 	1.138  	8.716
   350.0 	    88.0 	0.499 	1.161  	8.719
   400.0 	    88.0 	0.533 	1.148  	8.721
   500.0 	    88.0 	0.590 	1.119  	8.725
   800.0 	    88.0 	0.674 	1.044  	8.729
  1000.0 	    88.0 	0.711 	0.992  	8.734
  1500.0 	    88.0 	0.756 	0.886  	8.741
  2000.0 	    88.0 	0.783 	0.837  	8.750
  3500.0 	    88.0 	0.818 	0.720  	8.763
  5000.0 	    88.0 	0.821 	0.641  	8.780
  8000.0 	    88.0 	0.840 	0.567  	8.802
 10000.0 	    88.0 	0.851 	0.545  	8.829
 15000.0 	    88.0 	0.862 	0.490  	8.866
 20000.0 	    88.0 	0.858 	0.438  	8.916
 29975.0 	    88.0 	0.872 	0.379  	8.984
     1.0 	    89.0 	0.000 	0.027  	8.985
     5.0 	    89.0 	0.000 	0.065  	8.985
    10.0 	    89.0 	0.000 	0.102  	8.985
    20.0 	    89.0 	0.000 	0.202  	8.985
    35.0 	    89.0 	0.000 	0.349  	8.986
    50.0 	    89.0 	0.000 	0.506  	8.987
    75.0 	    89.0 	0.084 	0.651  	8.988
   100.0 	    89.0 	0.159 	0.816  	8.989
   125.0 	    89.0 	0.218 	0.903  	8.990
   150.0 	    89.0 	0.266 	0.992  	8.992
   175.0 	    89.0 	0.315 	1.048  	8.993
   200.0 	    89.0 	0.361 	1.081  	8.995
   250.0 	    89.0 	0.417 	1.123  	8.997
   300.0 	    89.0 	0.463 	1.163  	9.000
   350.0 	    89.0 	0.505 	1.149  	9.002
   400.0 	    89.0 	0.537 	1.143  	9.005
   500.0 	    89.0 	0.598 	1.101  	9.008
   800.0 	    89.0 	0.675 	1.062  	9.013
  1000.0 	    89.0 	0.716 	1.017  	9.018
  1500.0 	    89.0 	0.758 	0.900  	9.025
  2000.0 	    89.0 	0.791 	0.817  	9.032
  3500.0 	    89.0 	0.827 	0.701  	9.044
  5000.0 	    89.0 	0.844 	0.634  	9.059
  8000.0 	    89.0 	0.856 	0.564  	9.082
 10000.0 	    89.0 	0.873 	0.551  	9.107
 15000.0 	    89.0 	0.878 	0.540  	9.145
 20000.0 	    89.0 	0.896 	0.499  	9.189
 29975.0 	    89.0 	0.892 	0.425  	9.253
