Random number seed:  -8704197715963060969
# Trajectories at each energy & theta:  10000
Beam landing energies (eV):  [1.0, 5.0, 10.0, 20.0, 35.0, 50.0, 75.0, 100.0, 125.0, 150.0, 175.0, 200.0, 250.0, 300.0, 350.0, 400.0, 500.0, 800.0, 1000.0, 1500.0, 2000.0, 3500.0, 5000.0, 8000.0, 10000.0, 15000.0, 20000.0, 29975.0]
Sample angles (deg):  [0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 82.0, 85.0, 86.0, 87.0, 88.0, 89.0]
Beam size (standard deviation, in nm):  0.5

beamE (eV)	theta (deg)	BSE yield	SE yield	time (h)
  2000.0 	    85.0 	0.768 	0.562  	7.758
  3500.0 	    85.0 	0.779 	0.485  	7.775
  5000.0 	    85.0 	0.777 	0.426  	7.797
  8000.0 	    85.0 	0.803 	0.362  	7.830
 10000.0 	    85.0 	0.784 	0.308  	7.870
 15000.0 	    85.0 	0.789 	0.265  	7.928
 20000.0 	    85.0 	0.777 	0.227  	8.004
 29975.0 	    85.0 	0.787 	0.167  	8.112
     1.0 	    86.0 	0.934 	0.001  	8.112
     5.0 	    86.0 	0.860 	0.006  	8.112
    10.0 	    86.0 	0.814 	0.016  	8.113
    20.0 	    86.0 	0.737 	0.042  	8.113
    35.0 	    86.0 	0.669 	0.091  	8.113
    50.0 	    86.0 	0.628 	0.149  	8.113
    75.0 	    86.0 	0.596 	0.217  	8.114
   100.0 	    86.0 	0.581 	0.305  	8.115
   125.0 	    86.0 	0.587 	0.370  	8.116
   150.0 	    86.0 	0.585 	0.425  	8.117
   175.0 	    86.0 	0.597 	0.467  	8.118
   200.0 	    86.0 	0.596 	0.515  	8.119
   250.0 	    86.0 	0.613 	0.576  	8.121
   300.0 	    86.0 	0.628 	0.587  	8.123
   350.0 	    86.0 	0.643 	0.620  	8.125
   400.0 	    86.0 	0.651 	0.628  	8.128
   500.0 	    86.0 	0.667 	0.675  	8.131
   800.0 	    86.0 	0.717 	0.649  	8.136
  1000.0 	    86.0 	0.730 	0.643  	8.141
  1500.0 	    86.0 	0.754 	0.600  	8.149
  2000.0 	    86.0 	0.786 	0.574  	8.159
  3500.0 	    86.0 	0.792 	0.490  	8.175
  5000.0 	    86.0 	0.798 	0.447  	8.196
  8000.0 	    86.0 	0.807 	0.369  	8.228
 10000.0 	    86.0 	0.819 	0.339  	8.266
 15000.0 	    86.0 	0.812 	0.287  	8.320
 20000.0 	    86.0 	0.815 	0.266  	8.391
 29975.0 	    86.0 	0.807 	0.194  	8.494
     1.0 	    87.0 	0.952 	0.000  	8.494
     5.0 	    87.0 	0.895 	0.005  	8.494
    10.0 	    87.0 	0.855 	0.012  	8.494
    20.0 	    87.0 	0.797 	0.031  	8.495
    35.0 	    87.0 	0.744 	0.072  	8.495
    50.0 	    87.0 	0.686 	0.127  	8.495
    75.0 	    87.0 	0.680 	0.182  	8.496
   100.0 	    87.0 	0.664 	0.253  	8.496
   125.0 	    87.0 	0.666 	0.303  	8.497
   150.0 	    87.0 	0.659 	0.346  	8.498
   175.0 	    87.0 	0.657 	0.410  	8.499
   200.0 	    87.0 	0.665 	0.432  	8.500
   250.0 	    87.0 	0.685 	0.467  	8.502
   300.0 	    87.0 	0.694 	0.495  	8.503
   350.0 	    87.0 	0.693 	0.533  	8.505
   400.0 	    87.0 	0.701 	0.564  	8.507
   500.0 	    87.0 	0.713 	0.576  	8.510
   800.0 	    87.0 	0.739 	0.594  	8.514
  1000.0 	    87.0 	0.767 	0.583  	8.519
  1500.0 	    87.0 	0.790 	0.556  	8.526
  2000.0 	    87.0 	0.804 	0.530  	8.536
  3500.0 	    87.0 	0.813 	0.492  	8.551
  5000.0 	    87.0 	0.826 	0.443  	8.571
  8000.0 	    87.0 	0.819 	0.403  	8.601
 10000.0 	    87.0 	0.828 	0.383  	8.639
 15000.0 	    87.0 	0.835 	0.333  	8.689
 20000.0 	    87.0 	0.846 	0.299  	8.749
 29975.0 	    87.0 	0.836 	0.228  	8.839
     1.0 	    88.0 	0.968 	0.000  	8.839
     5.0 	    88.0 	0.926 	0.004  	8.839
    10.0 	    88.0 	0.893 	0.007  	8.839
    20.0 	    88.0 	0.857 	0.019  	8.839
    35.0 	    88.0 	0.821 	0.051  	8.840
    50.0 	    88.0 	0.790 	0.083  	8.840
    75.0 	    88.0 	0.772 	0.127  	8.840
   100.0 	    88.0 	0.758 	0.180  	8.841
   125.0 	    88.0 	0.758 	0.217  	8.841
   150.0 	    88.0 	0.747 	0.256  	8.842
   175.0 	    88.0 	0.750 	0.297  	8.843
   200.0 	    88.0 	0.755 	0.316  	8.843
   250.0 	    88.0 	0.760 	0.363  	8.845
   300.0 	    88.0 	0.765 	0.399  	8.846
   350.0 	    88.0 	0.764 	0.407  	8.847
   400.0 	    88.0 	0.765 	0.443  	8.849
   500.0 	    88.0 	0.774 	0.454  	8.851
   800.0 	    88.0 	0.804 	0.482  	8.854
  1000.0 	    88.0 	0.807 	0.472  	8.858
  1500.0 	    88.0 	0.829 	0.472  	8.864
  2000.0 	    88.0 	0.831 	0.477  	8.871
  3500.0 	    88.0 	0.839 	0.440  	8.884
  5000.0 	    88.0 	0.850 	0.422  	8.900
  8000.0 	    88.0 	0.840 	0.399  	8.926
 10000.0 	    88.0 	0.858 	0.383  	8.957
 15000.0 	    88.0 	0.864 	0.360  	8.999
 20000.0 	    88.0 	0.864 	0.323  	9.054
 29975.0 	    88.0 	0.866 	0.289  	9.133
     1.0 	    89.0 	0.983 	0.000  	9.133
     5.0 	    89.0 	0.966 	0.002  	9.133
    10.0 	    89.0 	0.950 	0.004  	9.133
    20.0 	    89.0 	0.929 	0.011  	9.133
    35.0 	    89.0 	0.909 	0.027  	9.133
    50.0 	    89.0 	0.885 	0.051  	9.133
    75.0 	    89.0 	0.878 	0.071  	9.134
   100.0 	    89.0 	0.872 	0.090  	9.134
   125.0 	    89.0 	0.863 	0.120  	9.134
   150.0 	    89.0 	0.864 	0.141  	9.135
   175.0 	    89.0 	0.860 	0.167  	9.135
   200.0 	    89.0 	0.862 	0.175  	9.136
   250.0 	    89.0 	0.860 	0.210  	9.136
   300.0 	    89.0 	0.863 	0.217  	9.137
   350.0 	    89.0 	0.860 	0.237  	9.138
   400.0 	    89.0 	0.870 	0.249  	9.139
   500.0 	    89.0 	0.870 	0.271  	9.140
   800.0 	    89.0 	0.882 	0.310  	9.142
  1000.0 	    89.0 	0.873 	0.313  	9.144
  1500.0 	    89.0 	0.892 	0.310  	9.148
  2000.0 	    89.0 	0.888 	0.321  	9.153
  3500.0 	    89.0 	0.885 	0.332  	9.162
  5000.0 	    89.0 	0.884 	0.334  	9.175
  8000.0 	    89.0 	0.892 	0.336  	9.195
 10000.0 	    89.0 	0.893 	0.329  	9.219
 15000.0 	    89.0 	0.896 	0.334  	9.255
 20000.0 	    89.0 	0.895 	0.323  	9.302
 29975.0 	    89.0 	0.919 	0.301  	9.366
